FCLTY_NM,MRHST_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,BLOG_URL,FACEBOOK_URL,INSTGRM_URL,RSTDE_GUID_CN,OPER_TIME,FRE_PARKNG_AT,CHGD_PARKNG_AT,ENTRN_PRICE_AT,ENTRN_POSBL_BN_VALUE,DSPSN_TOILET_AT,NRSGRM_AT,STROLLER_LEND_AT,KIDS_ZONE_AT
001스테이지,,전시/공연,영화/연극/공연,N,서울특별시,종로구,동숭동,,1-115,대학로,116,37.58153269,127.0023365,3086,서울특별시 종로구 대학로 116,서울특별시 종로구 동숭동 1-115,27440015,https://www.00ground.kr/space/reservation,,,,일요일,10:00~19:00,N,N,Y,연령제한없음,N,Y,N,Y
1004섬수석미술관,,전시/공연,전시/기념관,기타전시/박물관,전라남도,신안군,자은면,백산리,633-54,자은서부2길,508-68,34.8800925,125.9968744,58831,전라남도 신안군 자은면 자은서부2길 508-68,전라남도 신안군 자은면 백산리 633-54,612403223,https://tour.shinan.go.kr/home/tour/theme_tour/theme_tour_17/theme_tour_17_02,,,,월요일,10:00~17:00,N,N,N,연령제한없음,N,N,N,Y
123 박물관 & 김갑진갤러리,,전시/공연,전시/기념관,기타전시/박물관,전라남도,곡성군,목사동면,대곡리,1041-2,대곡당산길,1,35.11000012,127.262542,57552,전라남도 곡성군 목사동면 대곡당산길 1,전라남도 곡성군 목사동면 대곡리 1041-2,613629004,https://123museum.modoo.at,,,,월요일,10:00~17:00,Y,N,Y,연령제한없음,N,N,N,Y
148아트스퀘어,,전시/공연,영화/연극/공연,공연/연극/문화센터,경상북도,영주시,휴천동,,630,대학로,77,36.80700113,128.6161424,36133,경상북도 영주시 대학로 77,경상북도 영주시 휴천동 630,546308712,http://www.yctf.or.kr/bbs/board.php?bo_table=m203,,https://www.facebook.com/148artsquare/,,"월요일, 명절(일정이 있을 경우는 당일만, 없으면 연휴 전체)",09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y
153가족캠프,,문화관광/명소,관광지,N,경기도,과천시,중앙동,,Jul-40,새술막길,44851,37.42870998,126.9911989,13807,경기도 과천시 새술막길 10-17,경기도 과천시 중앙동 40-7,,,,,,,,N,N,N,연령제한없음,N,N,N,Y
168아트스퀘어,,전시/공연,전시/기념관,기타전시/박물관,충청북도,충주시,성서동,,306,예성로,168,36.97189318,127.9336123,27388,충청북도 충주시 예성로 168,충청북도 충주시 성서동 306,50713835009,168artsquare.com,,,,연중무휴,00:00~24:00 개관일정별도공지,Y,Y,N,연령제한없음,N,N,N,Y
2.28민주운동기념회관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,중구,남산동,,Oct-13,2.28길,9,35.85840431,128.5903535,41968,대구광역시 중구 2.28길 9,대구광역시 중구 남산동 2113-10,532572280,https://library.daegu.go.kr/228lib/index.do,,,,월요일,"평일 09:00~19:00, 주말 09:00~17:00",Y,N,N,연령제한없음,Y,Y,N,Y
2001아울렛 구로 어린이 소극장,,전시/공연,영화/연극/공연,N,서울특별시,구로구,고척동,,76-41,중앙로1길,36,37.49807255,126.8626774,8227,서울특별시 구로구 중앙로1길 36,서울특별시 구로구 고척동 76-41,220935093,https://2001gurohall.modoo.at,,,,월요일,10:00 - 22:00,Y,Y,N,연령제한없음,N,Y,N,Y
29아트,,전시/공연,전시/기념관,미술관,경기도,하남시,덕풍동,,762,조정대로,150,37.5535257,127.1946694,12930,경기도 하남시 조정대로 150,경기도 하남시 덕풍동 762,25121029,http://www.29art.com/e/,,,,,,N,N,N,연령제한없음,N,N,N,Y
3.15국립묘지,,전시/공연,전시/기념관,대형기념관/묘역,경상남도,창원시 마산회원구,구암동,,544-1,3.15성역로,75,35.25266875,128.5875347,51204,경상남도 창원시 마산회원구 3.15성역로 75,경상남도 창원시 마산회원구 구암동 544-1,552539315,https://www.mpva.go.kr/315/index.do,,,,"토요일, 국·공휴일","09:00~18:00, [동절기(11~2월)]  09:00~17:00",Y,N,N,연령제한없음,N,N,N,Y
3.15아트센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,경상남도,창원시 마산회원구,양덕동,,532-3,삼호로,135,35.22581853,128.5771062,51322,경상남도 창원시 마산회원구 삼호로 135,경상남도 창원시 마산회원구 양덕동 532-3,552860315,http://www.cwcf.or.kr/facility/facility_315art.asp,,,,,,Y,N,Y,8세 이상,N,N,N,Y
3.15의거발원지기념관,,전시/공연,전시/기념관,기타전시/박물관,경상남도,창원시 마산합포구,오동동,,165-7,문화의길,54,35.20709,128.5772752,51727,경상남도 창원시 마산합포구 문화의길 54,경상남도 창원시 마산합포구 오동동 165-7,552453150,,https://blog.naver.com/315_changwon,,,월요일,09:00~18:00,N,Y,N,연령제한없음,N,Y,N,Y
3.1순국기념관,,전시/공연,전시/기념관,대형기념관/묘역,경기도,화성시,향남읍,제암리,392-2,제암길,50,37.12630809,126.8915958,18595,경기도 화성시 향남읍 제암길 50,경기도 화성시 향남읍 제암리 392-2,313661604,https://www.jeam.or.kr/html/?pmode=main,,,,"월요일(공휴일인 경우 다음날), 1월 1일, 명절 당일",10:00~18:00 (입장마감 17:00),Y,N,N,연령제한없음,N,N,N,Y
3.1운동기념관,,전시/공연,전시/기념관,대형기념관/묘역,경기도,안성시,원곡면,칠곡리,02월 18일,만세로,868,37.06278466,127.1752952,17555,경기도 안성시 원곡면 만세로 868,경기도 안성시 원곡면 칠곡리 2-18,316782475,https://www.anseong.go.kr/tourPortal/41/main.do,,,,"월요일(공휴일인 경우 다음날), 1월 1일, 명절 당일",09:00~18:00(17:00까지 입장),Y,N,N,연령제한없음,Y,N,Y,Y
3.1의거기념관,,전시/공연,전시/기념관,대형기념관/묘역,경상북도,포항시 북구,송라면,대전리,281,대전길120번길,24,36.25369793,129.355422,37510,경상북도 포항시 북구 송라면 대전길120번길 24,경상북도 포항시 북구 송라면 대전리 281,542620513,https://pohang.go.kr/phtour/9297/subview.do?enc=Zm5jdDF8QEB8JTJGdG91ckluZm8lMkZwaHRvdXIlMkY3JTJGMzglMkZ0b3VyVmlldy5kbyUzRnBhZ2UlM0QxJTI2c3JjaENvbHVtbiUzRCUyNnNyY2hXcmQlM0QlMjY%3D,,,,"월요일, 공휴일, 명절",09:00~18:00,Y,N,N,연령제한없음,Y,N,N,Y
313아트프로젝트,,전시/공연,전시/기념관,기타전시/박물관,서울특별시,성북구,성북동,,286-5,성북로31길,34,37.59501819,126.9892724,2878,서울특별시 성북구 성북로31길 34,서울특별시 성북구 성북동 286-5,234463137,http://313artproject.com/,,,https://www.instagram.com/313artproject/,"일요일, 월요일",11:00~17:00,N,N,N,연령제한없음,N,N,N,Y
365계단,,문화관광/명소,관광지,N,전라남도,영광군,백수읍,대신리,산234-11,,,35.36445864,126.3960266,57025,,전라남도 영광군 백수읍 대신리 산 234-11,,,,,,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y
365세이프타운,,문화관광/명소,관광지,테마공원/대형놀이공원,강원도,태백시,장성동,,Feb-31,평화길,15,37.1025746,129.025226,26047,강원도 태백시 평화길 15,강원도 태백시 장성동 31-2,50714957915,https://www.taebaek.go.kr/365safetown/index.do,,,,월요일(공휴일인 경우 다음 평일),09:00~18:00(16시 이후 입장시 시간관계상 일부 체험관 이용 불가),Y,N,Y,연령제한없음,Y,Y,Y,Y
3D과학체험관,,전시/공연,전시/기념관,기타전시/박물관,경상남도,양산시,주진동,,산63-20,웅상대로,1009-1,35.38987046,129.1557582,50520,경상남도 양산시 웅상대로 1009-1,경상남도 양산시 주진동 산 63-20,553925608,http://3d.yangsan.go.kr/,,,,월요일,"10:00~12:00, 13:00~15:00, 15:30~17:30",Y,N,N,연령제한없음,N,Y,N,Y
3RDMUSEUM,,전시/공연,전시/기념관,미술관,서울특별시,마포구,서교동,,395-12,잔다리로3길,4,37.55163429,126.9191128,4043,서울특별시 마포구 잔다리로3길 4,서울특별시 마포구 서교동 395-12,,http://www.thirdmuseum.com,,https://www.facebook.com/3rdmuseum.official,https://www.instagram.com/thirdmuseum_official/,"월요일, 공휴일",10:00~19:00,Y,N,N,연령제한없음,N,N,N,Y
4.16기억전시관,,전시/공연,전시/기념관,기타전시/박물관,경기도,안산시 단원구,고잔동,,661-3,인현중앙길,38,37.32516183,126.8214018,15343,경기도 안산시 단원구 인현중앙길 38,경기도 안산시 단원구 고잔동 661-3,314117372,http://www.416memory.org/,,https://www.facebook.com/416archives,,주말,09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y
4.19기념관,,전시/공연,전시/기념관,대형기념관/묘역,서울특별시,강북구,수유동,,산7-1,4.19로8길,17,37.64839067,127.0090713,1009,서울특별시 강북구 4.19로8길 17,서울특별시 강북구 수유동 산 7-1,29960419,https://www.mpva.go.kr/419/index.do,,,,"월요일, 국공휴일","[11~2월] 09:30~16:30, [3~10월] 09:30~17:30",Y,N,N,연령제한없음,N,N,N,Y
4.19혁명기념회관,,전시/공연,전시/기념관,기타전시/박물관,서울특별시,종로구,평동,,166,새문안로,17,37.56744493,126.9676938,3181,서울특별시 종로구 새문안로 17,서울특별시 종로구 평동 166,27379556,,,,,일요일,08:00~22:00,Y,N,N,연령제한없음,N,N,N,Y
40계단거리,,문화관광/명소,관광지,유명관광지,부산광역시,중구,중앙동4가,,,,,35.10338417,129.0356358,,,부산광역시 중구 중앙동4가,516004044,,,,,연중무휴,00:00~24:00,N,N,N,연령제한없음,N,N,N,Y
40계단문화관,,전시/공연,전시/기념관,대형기념관/묘역,부산광역시,중구,동광동,,Mar-44,동광길,49,35.10500721,129.0344802,48927,부산광역시 중구 동광길 49,부산광역시 중구 동광동5가 44-3,516004046,https://www.bsjunggu.go.kr/tour/index.junggu?menuCd=DOM_000000208001001000&link=success&cpath=%2Ftour,,,,"월요일, 국경일, 명절","평일 10:00~18:00, 주말 10:00~17:00",Y,N,N,연령제한없음,N,N,N,Y
4차산업혁명체험센터,,전시/공연,전시/기념관,기타전시/박물관,서울특별시,성동구,행당동,,378,살곶이길,327,37.55467447,127.0404902,4765,서울특별시 성동구 살곶이길 327,서울특별시 성동구 행당동 378,222867811,https://sdfic.sd.go.kr/,,,,주말,09:00~18:00,Y,N,N,연령제한없음,N,Y,N,Y
5.18기념문화센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,광주광역시,서구,쌍촌동,,1268,내방로,152,35.15830536,126.8575559,61965,광주광역시 서구 내방로 152,광주광역시 서구 쌍촌동 1268,623765197,https://www.gwangju.go.kr/518/contentsView.do?pageId=maycenter35,,,,연중무휴,07:00~22:00,Y,N,N,연령제한없음,N,Y,N,Y
5.18기념문화회관민주홀,,전시/공연,영화/연극/공연,공연/연극/문화센터,광주광역시,서구,쌍촌동,,1268,내방로,152,35.15830536,126.8575559,61965,광주광역시 서구 내방로 152,광주광역시 서구 쌍촌동 1268,623765197,https://www.gwangju.go.kr/518/contentsView.do?pageId=maycenter35,,,,연중무휴,07:00~22:00,Y,N,N,연령제한없음,N,Y,N,Y
5.18민주화운동기록관,,전시/공연,전시/기념관,기타전시/박물관,광주광역시,동구,충장동,,03월 05일,금남로,221,35.14956323,126.9167556,61475,광주광역시 동구 금남로 221,광주광역시 동구 금남로3가 3-5,626138204,http://518archives.go.kr/,,,,"월요일(공휴일이면 다음날), 공휴일",09:00~18:00,Y,Y,N,연령제한없음,N,N,N,Y
55아트센터,,전시/공연,전시/기념관,기타전시/박물관,전라남도,무안군,일로읍,복룡리,814-1,사교길,3,34.87622164,126.5177955,58571,전라남도 무안군 일로읍 사교길 3,전라남도 무안군 일로읍 복룡리 814-1,612815570,,,,,,,N,N,N,연령제한없음,N,N,N,N
5월5일공방,,전시/공연,영화/연극/공연,N,경기도,고양시 일산서구,법곳동,,1185-1,법곳길,368,37.67271123,126.7006329,10203,경기도 고양시 일산서구 법곳길 368,경기도 고양시 일산서구 법곳동 1185-1,,,https://blog.naver.com/mayfifth55,,,,,Y,N,N,연령제한없음,N,N,N,Y
6.25전쟁납북자기념관,,전시/공연,전시/기념관,대형기념관/묘역,경기도,파주시,문산읍,사목리,477-1,임진각로,153,37.88897896,126.7432088,10808,경기도 파주시 문산읍 임진각로 153,경기도 파주시 문산읍 사목리 477-1,319306000,https://www.abductions625.go.kr/index.do,,,,"월요일, 주중 공휴일, 명절(당일은 개관)","[3~10월] 09:30~17:30, [11~2월] 10:00~17:00",Y,N,N,연령제한없음,Y,Y,N,Y
6.25전쟁체험전시관,,전시/공연,전시/기념관,기타전시/박물관,강원도,고성군,현내면,명호리,Aug-88,통일전망대로,453,38.58407952,128.3736792,24701,강원도 고성군 현내면 통일전망대로 453,강원도 고성군 현내면 명호리 88-8,336826625,,,,,연중무휴,"09:00~16:20 봄, 가을, 09:00~17:30 여름, 09:00~15:50 겨울",N,Y,Y,연령제한없음,N,N,N,Y
63빌딩63스카이아트미술관,,전시/공연,전시/기념관,미술관,서울특별시,영등포구,여의도동,,60,63로,50,37.51966416,126.9399093,7345,서울특별시 영등포구 63로 50,서울특별시 영등포구 여의도동 60,27895663,https://www.63art.co.kr/home/63ART/main.do,,,,연중무휴,10:00~20:00,N,Y,Y,연령제한없음,Y,Y,Y,Y
777레지던스,,전시/공연,전시/기념관,미술관,경기도,양주시,장흥면,일영리,50,권율로,103-1,37.72426086,126.948172,11520,경기도 양주시 장흥면 권율로 103-1,경기도 양주시 장흥면 일영리 50,3180824246,https://www.yangju.go.kr/changucchin/contents.do?key=2019,,https://www.facebook.com/777yangju/,,월요일,10:00~18:00,Y,N,Y,연령제한없음,N,N,N,Y
77수족관,,문화관광/명소,관광지,아쿠아리움/대형수족관,경상북도,포항시 북구,죽도동,,35-34,중앙로,186,36.02960372,129.367037,37787,경상북도 포항시 북구 중앙로 186,경상북도 포항시 북구 죽도동 35-34,542827755,,,,,,,N,N,N,연령제한없음,N,N,N,Y
9.81파크,,문화관광/명소,관광지,테마공원/대형놀이공원,제주특별자치도,제주시,애월읍,어음리,산131,천덕로,880-24,33.39003694,126.366509,63038,제주특별자치도 제주시 애월읍 천덕로 880-24,제주특별자치도 제주시 애월읍 어음리 산 131,18339810,http://www.981park.com,,,,,,Y,N,Y,연령제한없음,N,Y,N,Y
93뮤지엄,,전시/공연,전시/기념관,미술관,경기도,파주시,탄현면,법흥리,1652-115,헤이리마을길,59-58,37.78979276,126.6963307,10859,경기도 파주시 탄현면 헤이리마을길 59-58,경기도 파주시 탄현면 법흥리 1652-115,319486677,http://www.galleryfocus.co.kr/,,,,월요일,"동절기 09:00~17:00, 하절기 09:00~18:00",Y,N,Y,연령제한없음,N,N,N,Y
가계해수욕장,,문화관광/명소,관광지,해수욕장,전라남도,진도군,고군면,금계리,153,,,34.44637135,126.3518047,,,전라남도 진도군 고군면 금계리 153,615406605,,,,,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y
가나1아뜰리에,,전시/공연,전시/기념관,미술관,경기도,양주시,장흥면,일영리,06월 01일,권율로,139,37.72666259,126.9500866,11520,경기도 양주시 장흥면 권율로 139,경기도 양주시 장흥면 일영리 6-1,50713525802,http://www.jhatelier.com/,,,,매월 둘째주 금요일을 제외한 모든 날,둘째주 금요일 10:00~20:00,Y,N,Y,연령제한없음,Y,N,N,Y
가나미디어,,전시/공연,영화/연극/공연,N,서울특별시,종로구,연지동,,136-46,대학로,19,37.57292514,127.0016198,3129,서울특별시 종로구 대학로 19,서울특별시 종로구 연지동 136-46,234779923,http://canaav.co.kr/skin_mw2/,,,,,,N,N,N,연령제한없음,N,N,N,Y
가나아트센터,,전시/공연,전시/기념관,기타전시/박물관,서울특별시,종로구,평창동,,97,평창30길,28,37.61224471,126.9751822,3004,서울특별시 종로구 평창30길 28,서울특별시 종로구 평창동 97,50714025011,https://www.ganaart.com/,,,https://www.instagram.com/ganaart_seoul/,월요일,10:00~19:00,Y,N,Y,연령제한없음,N,N,N,Y
가나아트파크,,전시/공연,전시/기념관,미술관,경기도,양주시,장흥면,일영리,06월 07일,권율로,117,37.72583554,126.9493324,11520,경기도 양주시 장흥면 권율로 117,경기도 양주시 장흥면 일영리 6-7,50714370500,http://www.artpark.co.kr/,,http://www.facebook.com/ganaartpark,http://www.instagram.com/ganaartpark,월요일(공휴일인 경우 익일 휴관),"평일 10:30~18:00, 주말 10:00~18:00",Y,N,Y,연령제한없음,Y,N,N,Y
가나엔터프라이즈,,전시/공연,전시/기념관,기타전시/박물관,광주광역시,서구,치평동,,893-1,,,35.15071637,126.8354298,61955,,광주광역시 서구 치평동 893-1,,http://gana2.com/,,,,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y
가는게해수욕장,,문화관광/명소,관광지,해수욕장,전라남도,신안군,도초면,지남리,,,,34.68778767,125.9290084,,,전라남도 신안군 도초면 지남리,,,,,,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y
가든스테이지,,전시/공연,영화/연극/공연,N,부산광역시,기장군,기장읍,시랑리,산46,동부산관광로,42,35.19606181,129.2132069,46083,부산광역시 기장군 기장읍 동부산광역시관광로 42,부산광역시 기장군 기장읍 시랑리 산 46,16612000,http://www.lotteworld.com,,,,연중무휴,,N,Y,Y,연령제한없음,N,Y,Y,Y
가람문학관,,전시/공연,전시/기념관,기타전시/박물관,전라북도,익산시,여산면,원수리,575-2,가람1길,76,36.03531462,127.0844811,54520,전라북도 익산시 여산면 가람1길 76,전라북도 익산시 여산면 원수리 575-2,638321891,,,,,"월요일, 1월 1일, 명절",09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y
가람신작,,전시/공연,영화/연극/공연,공연/연극/문화센터,충청북도,청주시 상당구,수동,,230-13,대성로122번길,02월 27일,36.63659967,127.4939221,28518,충청북도 청주시 상당구 대성로122번길 27-2,충청북도 청주시 상당구 수동 230-13,432225911,https://www.cbfc.or.kr/home/main.php,,,https://www.instagram.com/garamsinjak/,,,N,N,N,연령제한없음,N,N,N,Y
가람아트홀,,전시/공연,영화/연극/공연,대형예술센터,부산광역시,남구,대연동,,965-2,유엔평화로76번길,26,35.12771884,129.0927865,48533,부산광역시 남구 유엔평화로76번길 26,부산광역시 남구 대연동 965-2,,https://garamarthall.modoo.at/,,,https://www.instagram.com/garamarthall/,공연별 상이,공연별 상이,Y,N,Y,수유할 연령의 나이 제외,N,N,N,Y
가람유원지,,문화관광/명소,관광지,일반유원지/일반놀이공원,경기도,가평군,북면,적목리,산131-11,논남기길,277,37.96499735,127.4329018,12400,경기도 가평군 북면 논남기길 277,경기도 가평군 북면 적목리 산 131-11,,http://kbs1.kr/h/garampsywj/mobile/index.htmm,,,,연중무휴,"방갈로 06:00~18:00, 숙박 입실 14:00, 퇴실 11:00",Y,N,Y,연령제한없음,N,N,N,Y
가람화랑,,전시/공연,전시/기념관,기타전시/박물관,서울특별시,종로구,관훈동,,10월 30일,인사동10길,11,37.57428279,126.9856136,3146,서울특별시 종로구 인사동10길 11,서울특별시 종로구 관훈동 30-10,50713326170,,https://blog.naver.com/garamgallery,,,,,N,N,N,연령제한없음,N,N,N,Y
가리산자연휴양림,,문화관광/명소,관광지,휴양림/수목원,강원도,홍천군,두촌면,천현리,산134-1,모르골길,179-22,37.86589954,127.9988125,25164,강원도 홍천군 두촌면 모르골길 179-22,강원도 홍천군 두촌면 천현리 산 134-1,334356035,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030002,,,,,,N,Y,Y,연령제한없음,N,N,N,Y
가림미술관,,전시/공연,전시/기념관,미술관,경기도,가평군,설악면,가일리,202,어비산길,21-60,37.60089276,127.4963733,12473,경기도 가평군 설악면 어비산길 21-60,경기도 가평군 설악면 가일리 202,,,,,,,,N,N,N,연령제한없음,N,N,N,N
가마골소극장,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,연제구,거제동,,18-22,월드컵대로,190,35.18835625,129.0761228,47521,부산광역시 연제구 월드컵대로 190,부산광역시 연제구 거제동 18-22,517230568,https://kamagol.modoo.at/,,,,"월요일, 공휴일에도 공연이있으면 개장함",09:00~22:00,Y,N,Y,연령제한없음,N,N,N,Y
가마미해수욕장,,문화관광/명소,관광지,해수욕장,전라남도,영광군,홍농읍,계마리,799-1,가마미로,341-6,35.3975604,126.407991,57000,전라남도 영광군 홍농읍 가마미로 341-6,전라남도 영광군 홍농읍 계마리 799-1,613561020,,,,,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y
가마섬,,문화관광/명소,관광지,일반유원지/일반놀이공원,경기도,여주시,점동면,현수리,555-12,현수리길,30,37.18829938,127.6841762,12668,경기도 여주시 점동면 현수리길 30,경기도 여주시 점동면 현수리 555-12,,,,,,연중무휴,00:00~24:00,N,N,N,연령제한없음,N,N,N,Y
가마터갤러리,,전시/공연,전시/기념관,미술관,경기도,양평군,서종면,도장리,87-15,중미산로,465,37.604066,127.392614,12501,경기도 양평군 서종면 중미산로 465,경기도 양평군 서종면 도장리 87-15,,,,,,,,N,N,N,연령제한없음,N,N,N,N
가막유원지,,문화관광/명소,관광지,일반유원지/일반놀이공원,전라북도,진안군,진안읍,가막리,298,,,35.806548,127.5159686,55420,,전라북도 진안군 진안읍 가막리 298,,,,,,,,N,N,N,연령제한없음,N,N,N,Y
가배량성,,문화관광/명소,명승지,성/성터,경상남도,거제시,동부면,가배리,산17-1,,,34.78167689,128.5715578,53330,,경상남도 거제시 동부면 가배리 산 17-1,556393404,http://www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=2333801100000,,,,연중무휴,00:00~24:00,N,N,N,연령제한없음,N,N,N,Y
가사동백숲해변,,문화관광/명소,관광지,해수욕장,전라남도,완도군,약산면,해동리,,,,34.41311053,126.9524143,,,전라남도 완도군 약산면 해동리,615505423,,,,,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y
가산박물관,,전시/공연,전시/기념관,기타전시/박물관,충청북도,옥천군,안내면,용촌리,221,안내회남로,310-5,36.40466701,127.6218972,29005,충청북도 옥천군 안내면 안내회남로 310-5,충청북도 옥천군 안내면 용촌리 221,437339129,,,,,연중무휴,09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y
가산산성,,문화관광/명소,명승지,성/성터,경상북도,칠곡군,가산면,가산리,1211-2,,,36.03477653,128.5830245,39853,,경상북도 칠곡군 가산면 가산리 1211-2,549796452,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?searchCondition=&searchCondition2=&ccbaKdcd=13&ccbaAsno=02160000&ccbaCtcd=37&ccbaCpno=1333702160000&ccbaGcode=CA&ccbaBcode=03&ccbaMcode=02&culPageNo=6&header=div&returnUrl=%2Fheri%2Fcul%2FculSelectDivList.do&pageNo=1_1_3_0,,,,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y
가산오광대전수교육관,,전시/공연,전시/기념관,기타전시/박물관,경상남도,사천시,축동면,가산리,830-2,조창길,187-28,35.08460555,128.0402639,52509,경상남도 사천시 축동면 조창길 187-28,경상남도 사천시 축동면 가산리 830-2,558312727,,,,,,,N,N,N,연령제한없음,N,N,N,N
가산화랑,,전시/공연,전시/기념관,기타전시/박물관,경기도,성남시 분당구,구미동,,274-1,구미로,186,37.34355388,127.1274382,13622,경기도 성남시 분당구 구미로 186,경기도 성남시 분당구 구미동 274-1,,,,,,,,N,N,N,연령제한없음,N,N,N,Y
가섭산테마공원(2023년1월예정),,문화관광/명소,관광지,테마공원/대형놀이공원,충청북도,음성군,음성읍,한벌리,산31-3,,,36.9596435,127.7056645,27689,,충청북도 음성군 음성읍 한벌리 산 31-3,,,,,,,,N,N,N,문의,N,N,N,N
가스펠재즈,스튜디오,전시/공연,영화/연극/공연,공연/연극/문화센터,서울특별시,강남구,역삼동,,725-17,테헤란로30길,19,37.49998194,127.0397054,6223,서울특별시 강남구 테헤란로30길 19,서울특별시 강남구 역삼동 725-17,25535888,,,,,,,Y,N,N,연령제한없음,N,N,N,Y
가시리창작지원센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,제주특별자치도,서귀포시,표선면,가시리,2339,중산간동로5220번길,56,33.35275982,126.7654368,63623,제주특별자치도 서귀포시 표선면 중산간동로5220번길 56,제주특별자치도 서귀포시 표선면 가시리 2339,7088071305,,,,,,,N,N,N,연령제한없음,N,N,N,Y
가시창작소,,전시/공연,전시/기념관,미술관,경기도,파주시,탄현면,법흥리,230-11,국화향길,60-24,37.78106403,126.7139868,10860,경기도 파주시 탄현면 국화향길 60-24,경기도 파주시 탄현면 법흥리 230-11,,,,,,,,N,N,N,연령제한없음,N,N,N,N
가야공원유원지,,문화관광/명소,관광지,일반유원지/일반놀이공원,부산광역시,부산진구,가야동,,산44-5,,,35.14609828,129.0281448,47390,,부산광역시 부산진구 가야동 산 44-5,,,,,,,,N,N,N,연령제한없음,N,N,N,Y
가야랜드,,문화관광/명소,관광지,일반유원지/일반놀이공원,경상남도,김해시,삼방동,,792,인제로,368,35.25817158,128.9024348,50811,경상남도 김해시 인제로 368,경상남도 김해시 삼방동 792,553466000,http://gaya-land.com/,,,,연중무휴,10:00~18:00,Y,N,Y,연령제한없음,N,Y,Y,Y
가야박물관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,달서구,본동,,831,구마로,146,35.83676137,128.5434204,42734,대구광역시 달서구 구마로 146,대구광역시 달서구 본동 831,535603700,,,,,,,Y,N,N,연령제한없음,N,N,N,N
가야역사문화센터(2023년9월예정),,전시/공연,전시/기념관,기타전시/박물관,경상남도,김해시,관동동,,452-3,,,35.17929234,128.7987412,50999,,경상남도 김해시 관동동 452-3,,,,,,,,N,N,N,문의,N,N,N,N
가얏고체험관,,문화관광/명소,관광지,N,경상북도,고령군,대가야읍,쾌빈리,185-1,정정골길,55,35.7417615,128.2609282,40132,경상북도 고령군 대가야읍 정정골길 55,경상북도 고령군 대가야읍 쾌빈리 185-1,,,,,,,,N,N,N,연령제한없음,N,N,N,Y
가온스테이지,,전시/공연,영화/연극/공연,N,서울특별시,마포구,서교동,,377-3,잔다리로,59,37.5531083,126.9175257,4034,서울특별시 마포구 잔다리로 59,서울특별시 마포구 서교동 377-3,50713478650,,,,https://www.instagram.com/gaon.stage/,연중무휴,00:00~24:00,N,N,Y,연령제한없음,N,N,N,Y
가온아트홀,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,동구,범일동,,830-9,자성로133번길,10,35.13820831,129.064915,48742,부산광역시 동구 자성로133번길 10,부산광역시 동구 범일동 830-9,16001602,https://cafe.naver.com/0514426500,,,,연중무휴,10:00~22:00,N,Y,Y,4세 이상,N,N,N,Y
가원미술관,,전시/공연,전시/기념관,미술관,경기도,과천시,문원동,,226,새빛로,24,37.42397285,126.9992025,13826,경기도 과천시 새빛로 24,경기도 과천시 문원동 226,50713313730,,,,https://www.instagram.com/gallerycafe_gawon,,,Y,N,Y,연령제한없음,N,N,N,Y
가은역꼬마열차,,문화관광/명소,관광지,N,경상북도,문경시,가은읍,왕능리,536,대야로,2441,36.64952139,128.0604852,36996,경상북도 문경시 가은읍 대야로 2441,경상북도 문경시 가은읍 왕능리 536,545725068,https://www.mgtpcr.or.kr/web/index.do,,,,월요일,09:00~18:00,Y,N,Y,연령제한없음,N,N,N,Y
가음아트홀,,전시/공연,영화/연극/공연,N,경상남도,창원시 성산구,가음동,,07월 03일,가음정로43번길,1,35.209418,128.6887889,51510,경상남도 창원시 성산구 가음정로43번길 1,경상남도 창원시 성산구 가음동 7-3,,,https://blog.naver.com/lsw9323,,,,,Y,N,N,연령제한없음,N,N,N,Y
