FCLTY_NM,MRHST_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,BLOG_URL,FACEBOOK_URL,INSTGRM_URL,RSTDE_GUID_CN,OPER_TIME,FRE_PARKNG_AT,CHGD_PARKNG_AT,ENTRN_PRICE_AT,ENTRN_POSBL_BN_VALUE,DSPSN_TOILET_AT,NRSGRM_AT,STROLLER_LEND_AT,KIDS_ZONE_AT
광양용강영어타운,,문화관광/명소,관광지,N,전라남도,광양시,광양읍,용강리,890,,,34.9756136,127.6080339,57746,,전라남도 광양시 광양읍 용강리 890,617614927,,,,,,,Y,N,N,연령제한없음,N,N,N,N
광양장도박물관,,전시/공연,전시/기념관,기타전시/박물관,전라남도,광양시,광양읍,칠성리,1009-3,매천로,771,34.97705608,127.5805515,57740,전라남도 광양시 광양읍 매천로 771,전라남도 광양시 광양읍 칠성리 1009-3,617624853,http://jangdojang.modoo.at/,,,,일요일,09:30~18:00,Y,N,N,연령제한없음,N,N,N,Y
광양전문과학관(2025년1월예정),,전시/공연,전시/기념관,기타전시/박물관,전라남도,광양시,황길동,,산45-35,,,34.92443844,127.6633493,57769,,전라남도 광양시 황길동 산 45-35,,,,,,,,N,N,N,문의,N,N,N,N
광양항홍보관,,전시/공연,전시/기념관,기타전시/박물관,전라남도,광양시,도이동,,777,항만대로,755,34.92289729,127.6853534,57772,전라남도 광양시 항만대로 755,전라남도 광양시 도이동 777,617974332,,,,,,,N,N,N,연령제한없음,N,N,N,N
광월산성,,문화관광/명소,명승지,성/성터,전라북도,군산시,옥구읍,상평리,628,,,35.9306221,126.7066147,54172,,전라북도 군산시 옥구읍 상평리 628,,,,,,,,N,N,N,연령제한없음,N,N,N,Y
광장휴계소,,문화관광/명소,관광지,N,충청남도,당진시,송악읍,반촌리,767,서해로,6431,36.89934373,126.6982746,31733,충청남도 당진시 송악읍 서해로 6431,충청남도 당진시 송악읍 반촌리 767,,,,,,,,N,N,N,연령제한없음,N,N,N,Y
광주공연마루,,전시/공연,영화/연극/공연,공연/연극/문화센터,광주광역시,서구,치평동,,1163-2,상무시민로,3,35.1557731,126.8397454,61953,광주광역시 서구 상무시민로 3,광주광역시 서구 치평동 1163-2,626138337,https://gjart.gwangju.go.kr/gjgugak/cmd.do,,,,"일요일, 월요일",공연별 상이,Y,N,N,공연별 상이,N,N,N,Y
광주광역시문화원연합회,,전시/공연,영화/연극/공연,공연/연극/문화센터,광주광역시,서구,풍암동,,423-2,금화로,240,35.13364608,126.8748299,62048,광주광역시 서구 금화로 240,광주광역시 서구 풍암동 423-2,625271991,http://gjccf.kr/,,,,,,Y,N,N,연령제한없음,N,N,N,Y
광주교육대학교박물관,,전시/공연,전시/기념관,기타전시/박물관,광주광역시,북구,풍향동,,01월 01일,필문대로,55,35.16471468,126.9256972,61204,광주광역시 북구 필문대로 55,광주광역시 북구 풍향동 1-1,625204280,http://museum.gnue.ac.kr/,,,,"주말, 개교기념일(3.31), 공휴일",10:00~17:00,Y,N,N,연령제한없음,N,N,N,Y
광주김치박물관,,전시/공연,전시/기념관,기타전시/박물관,광주광역시,남구,임암동,,674,김치로,60,35.10966818,126.8666534,61755,광주광역시 남구 김치로 60,광주광역시 남구 임암동 674,626138222,https://www.gwangju.go.kr/kimchitown/,https://blog.naver.com/kimchitown,,https://www.instagram.com/kimchiga_kimchitown/,월요일,09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y
광주김치타운,,전시/공연,전시/기념관,기타전시/박물관,광주광역시,남구,임암동,,674,김치로,60,35.10966818,126.8666534,61755,광주광역시 남구 김치로 60,광주광역시 남구 임암동 674,626138222,https://www.gwangju.go.kr/kimchitown/,https://blog.naver.com/kimchitown,,https://www.instagram.com/kimchiga_kimchitown/,월요일,09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y
광주대호심미술관,,전시/공연,전시/기념관,미술관,광주광역시,남구,진월동,,592-1,효덕로,277,35.10590365,126.8961699,61743,광주광역시 남구 효덕로 277,광주광역시 남구 진월동 592-1,626702114,https://www.kwangju.ac.kr/,,,,"주말, 공휴일",10:00~17:00,N,Y,N,연령제한없음,N,N,N,Y
광주도예문화센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,광주광역시,서구,풍암동,,1076-2,풍암신암로,38,35.12386228,126.8830957,62068,광주광역시 서구 풍암신암로 38,광주광역시 서구 풍암동 1076-2,626828979,http://www.gccc.co.kr/,,,,프로그램별 상이,프로그램별 상이,N,N,Y,프로그램별 상이,N,N,N,N
광주디엠홀,,전시/공연,영화/연극/공연,N,광주광역시,동구,호남동,,39-17,,,35.1473531,126.9133023,61484,,광주광역시 동구 호남동 39-17,622277439,http://www.gwangjuarthall.com/?channel=cid6&set=view&ud=bbs475&bcode=1598827987,,,,일요일,"평일 09:00~17:30, 토 09:00~14:00",N,N,N,연령제한없음,N,N,N,Y
광주명장의전당,,전시/공연,전시/기념관,기타전시/박물관,광주광역시,서구,치평동,,1159-2,상무누리로,30,35.14677706,126.8404805,61958,광주광역시 서구 상무누리로 30,광주광역시 서구 치평동 1159-2,626112000,,,,,,,N,Y,N,연령제한없음,N,Y,N,Y
광주문화예술회관,,전시/공연,영화/연극/공연,대형예술센터,광주광역시,북구,운암동,,328-16,북문대로,60,35.17820945,126.881993,61104,광주광역시 북구 북문대로 60,광주광역시 북구 운암동 328-16,626138333,https://gjart.gwangju.go.kr/ko/cmd.do,,,,공연별 상이,09:00~22:30,N,N,N,공연별 상이,N,N,N,Y
광주문화원,,전시/공연,영화/연극/공연,공연/연극/문화센터,경기도,광주시,경안동,,157-26,문화로85번길,12월 19일,37.40997626,127.2493751,12762,경기도 광주시 문화로85번길 19-12,경기도 광주시 경안동 157-26,317640686,http://www.gjmh.or.kr/,,,,"주말, 공휴일",09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y
광주백범기념관,,전시/공연,전시/기념관,대형기념관/묘역,광주광역시,동구,학동,,1013,천변우로,599,35.13113791,126.9263157,61464,광주광역시 동구 천변우로 599,광주광역시 동구 학동 1013,622332477,http://www.gjkimkoo.or.kr/,,,https://www.instagram.com/gwangju_kimkoo_memorial_hall/,"월요일, 1월 1일, 명절","[3~10월] 09:30~18:00, [11~2월] 09:30~17:00",Y,N,N,연령제한없음,N,N,N,Y
광주비엔날레,,문화관광/명소,관광지,유명관광지,광주광역시,북구,용봉동,,산149-2,비엔날레로,111,35.18309828,126.8892087,61104,광주광역시 북구 비엔날레로 111,광주광역시 북구 용봉동 산 149-2,626084114,http://www.gwangjubiennale.org/gb/index.do,,https://www.facebook.com/GwangjuBiennale/,https://www.instagram.com/gwangjubiennale/?hl=ko,월요일,09:00~18:00,Y,N,Y,연령제한없음,N,N,Y,Y
광주상무시민공원에너지파크전시관,,전시/공연,전시/기념관,기타전시/박물관,광주광역시,서구,치평동,,1163-2,상무공원로,131,35.15624835,126.8421932,61953,광주광역시 서구 상무공원로 131,광주광역시 서구 치평동 1163-2,627105557,,,,,"일요일, 월요일",09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y
광주시립교향악단,,전시/공연,영화/연극/공연,N,광주광역시,북구,운암동,,328-16,북문대로,60,35.17820945,126.881993,61104,광주광역시 북구 북문대로 60,광주광역시 북구 운암동 328-16,625245086,http://gjart.gwangju.go.kr/gso/cmd.do,https://blog.naver.com/gsorchestra,https://www.facebook.com/gjsymphony,https://www.instagram.com/gwangju_symphony_orchestra/,연중무휴,10:00~21:00,Y,N,N,공연별 상이,N,Y,N,Y
광주시립미술관,,전시/공연,전시/기념관,대형미술관,광주광역시,북구,운암동,,164,하서로,52,35.18323305,126.8857358,61104,광주광역시 북구 하서로 52,광주광역시 북구 운암동 164,626137100,https://artmuse.gwangju.go.kr/,https://blog.naver.com/gmanews,https://www.facebook.com/gmoakorea,,"월요일, 1월 1일, 명절 당일","10:00~18:00, 매월 마지막 주 수요일 10:00~20:00 (문화가 있는 날)",Y,N,N,연령제한없음,N,Y,Y,Y
광주시립미술관 하정웅미술관,,전시/공연,전시/기념관,기타전시/박물관,광주광역시,서구,농성동,,311-1,상무대로,1165,35.15498216,126.8884416,61935,광주광역시 서구 상무대로 1165,광주광역시 서구 농성동 311-1,626135390,http://artmuse.gwangju.go.kr/?site=hajungwoong,,,,"월요일, 1월 1일, 명절 당일","10:00~18:00, 매월 마지막 주 수요일 : 10:00~20:00",Y,N,N,연령제한없음,N,N,N,Y
광주시립사진전시관,,전시/공연,전시/기념관,기타전시/박물관,광주광역시,북구,운암동,,164,하서로,52,35.18323305,126.8857358,61104,광주광역시 북구 하서로 52,광주광역시 북구 운암동 164,626135405,https://artmuse.gwangju.go.kr/co/contentsView.php?pageID=artmuse0903000000&lang=kor,,,,"1월 1일, 명절 당일, 월요일",10:00~18:00,Y,N,N,연령제한없음,N,N,N,Y
